 ,Patch1 N°,Patch2 N°,Distances
162,5,17,193.171
163,5,18,138.976
164,5,19,139.177
165,5,20,176.793
166,5,21,199.184
167,5,22,231.080
168,5,23,224.505
169,5,24,227.477
170,5,25,322.066
171,5,26,264.663
172,5,27,317.031
173,5,28,332.415
174,5,29,356.659
175,5,30,348.191
176,5,31,379.838
177,5,32,381.565
178,6,7,44.962
179,6,8,155.128
180,6,9,16.277
181,6,10,122.953
182,6,11,143.072
183,6,12,72.722
184,6,13,165.394
185,6,14,171.022
186,6,15,126.669
187,6,16,114.064
188,6,17,131.208
189,6,18,209.794
190,6,19,199.380
191,6,20,224.948
192,6,21,202.289
193,6,22,198.573
194,6,23,251.360
195,6,24,270.111
196,6,25,347.533
197,6,26,254.117
198,6,27,319.176
199,6,28,317.946
200,6,29,326.115
201,6,30,347.348
202,6,31,384.158
203,6,32,407.055
204,7,8,113.984
205,7,9,35.856
206,7,10,80.058
207,7,11,98.916
208,7,12,28.575
209,7,13,120.756
210,7,14,126.176
211,7,15,96.631
212,7,16,97.847
213,7,17,119.566
214,7,18,166.321
215,7,19,156.808
216,7,20,184.844
217,7,21,171.188
218,7,22,178.656
219,7,23,216.166
220,7,24,232.102
221,7,25,314.582
222,7,26,228.922
223,7,27,291.791
224,7,28,295.469
225,7,29,309.072
226,7,30,321.292
227,7,31,357.165
228,7,32,374.832
229,8,9,149.530
230,8,10,35.486
231,8,11,31.402
232,8,12,96.143
233,8,13,41.159
234,8,14,68.772
235,8,15,143.343
236,8,16,172.430
237,8,17,195.005
238,8,18,116.953
239,8,19,119.340
240,8,20,157.316
241,8,21,187.470
242,8,22,224.904
243,8,23,207.139
244,8,24,207.249
245,8,25,302.796
246,8,26,252.962
247,8,27,301.761
248,8,28,319.845
249,8,29,346.663
250,8,30,332.916
251,8,31,363.248
252,8,32,361.581
253,9,10,115.892
254,9,11,134.615
255,9,12,61.170
256,9,13,156.078
257,9,14,159.573
258,9,15,110.526
259,9,16,98.134
260,9,17,115.874
261,9,18,196.465
262,9,19,185.508
263,9,20,210.025
264,9,21,186.091
265,9,22,182.613
266,9,23,235.443
267,9,24,254.609
268,9,25,331.368
269,9,26,237.899
270,9,27,302.913
271,9,28,301.907
272,9,29,310.599
273,9,30,331.126
